log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
2.4,2.575,2.75,0.6,0.625,0.65,6.8884634571820605e-06
2.4,2.575,2.75,0.65,0.675,0.7,6.622132294133612e-06
2.4,2.575,2.75,0.7,0.725,0.75,6.410329096919681e-06
2.4,2.575,2.75,0.75,0.775,0.8,5.93590285546496e-06
2.4,2.575,2.75,0.8,0.825,0.85,4.305994175329477e-06
2.4,2.575,2.75,0.85,0.875,0.9,2.0831256299884147e-06
2.4,2.575,2.75,0.9,0.925,0.95,0.0
2.4,2.575,2.75,0.95,0.975,1.0,0.0
2.75,2.925,3.1,-1.0,-0.975,-0.95,1.835388820005594e-05
2.75,2.925,3.1,-0.95,-0.925,-0.9,1.994903161970176e-05
2.75,2.925,3.1,-0.9,-0.875,-0.85,2.158688407347738e-05
2.75,2.925,3.1,-0.85,-0.825,-0.8,2.2746771977628346e-05
2.75,2.925,3.1,-0.8,-0.775,-0.75,2.2811168157227816e-05
2.75,2.925,3.1,-0.75,-0.725,-0.7,2.233152422039236e-05
2.75,2.925,3.1,-0.7,-0.675,-0.65,2.0143071698994584e-05
2.75,2.925,3.1,-0.65,-0.625,-0.6,1.7529119681028713e-05
2.75,2.925,3.1,-0.6,-0.575,-0.55,1.6282319036365727e-05
2.75,2.925,3.1,-0.55,-0.525,-0.5,1.5418170313529857e-05
2.75,2.925,3.1,-0.5,-0.475,-0.45,1.4788006231546474e-05
2.75,2.925,3.1,-0.45,-0.425,-0.4,1.432293483943405e-05
2.75,2.925,3.1,-0.4,-0.375,-0.35,1.3974028291528405e-05
2.75,2.925,3.1,-0.35,-0.325,-0.3,1.3757615831745058e-05
2.75,2.925,3.1,-0.3,-0.275,-0.25,1.359551026114397e-05
2.75,2.925,3.1,-0.25,-0.225,-0.2,1.3372615536862298e-05
2.75,2.925,3.1,-0.2,-0.175,-0.15,1.3221607485275599e-05
2.75,2.925,3.1,-0.15,-0.125,-0.1,1.3011144246930453e-05
2.75,2.925,3.1,-0.1,-0.075,-0.05,1.2850492788840935e-05
2.75,2.925,3.1,-0.05,-0.025,0.0,1.2731585546284173e-05
2.75,2.925,3.1,0.0,0.025,0.05,1.2657497015055992e-05
2.75,2.925,3.1,0.05,0.075,0.1,1.2522443075208604e-05
2.75,2.925,3.1,0.1,0.125,0.15,1.2432220040927391e-05
2.75,2.925,3.1,0.15,0.175,0.2,1.2451647275765038e-05
2.75,2.925,3.1,0.2,0.225,0.25,1.2457914955597822e-05
2.75,2.925,3.1,0.25,0.275,0.3,1.2345629475253018e-05
2.75,2.925,3.1,0.3,0.325,0.35,1.226379872095763e-05
2.75,2.925,3.1,0.35,0.375,0.4,1.2218407310292582e-05
2.75,2.925,3.1,0.4,0.425,0.45,1.2211394294292607e-05
2.75,2.925,3.1,0.45,0.475,0.5,1.2261462553619398e-05
2.75,2.925,3.1,0.5,0.525,0.55,1.2275846733404813e-05
2.75,2.925,3.1,0.55,0.575,0.6,1.2366946273085625e-05
2.75,2.925,3.1,0.6,0.625,0.65,1.23389754296472e-05
2.75,2.925,3.1,0.65,0.675,0.7,1.2119558020350373e-05
2.75,2.925,3.1,0.7,0.725,0.75,1.1525218198826319e-05
2.75,2.925,3.1,0.75,0.775,0.8,1.02095282478462e-05
2.75,2.925,3.1,0.8,0.825,0.85,7.738853752585697e-06
2.75,2.925,3.1,0.85,0.875,0.9,3.882737813207498e-06
2.75,2.925,3.1,0.9,0.925,0.95,0.0
2.75,2.925,3.1,0.95,0.975,1.0,0.0
3.1,3.275,3.45,-1.0,-0.975,-0.95,2.212882567469575e-05
3.1,3.275,3.45,-0.95,-0.925,-0.9,2.4368723196025923e-05
3.1,3.275,3.45,-0.9,-0.875,-0.85,2.665286696051308e-05
3.1,3.275,3.45,-0.85,-0.825,-0.8,2.9674211078506783e-05
3.1,3.275,3.45,-0.8,-0.775,-0.75,3.060748177481036e-05
3.1,3.275,3.45,-0.75,-0.725,-0.7,3.005362341672898e-05
3.1,3.275,3.45,-0.7,-0.675,-0.65,2.7090777610082347e-05
3.1,3.275,3.45,-0.65,-0.625,-0.6,2.314021374303475e-05
3.1,3.275,3.45,-0.6,-0.575,-0.55,2.133978371057196e-05
3.1,3.275,3.45,-0.55,-0.525,-0.5,2.0117892978996226e-05
3.1,3.275,3.45,-0.5,-0.475,-0.45,1.9240137545677605e-05
3.1,3.275,3.45,-0.45,-0.425,-0.4,1.8587062289871805e-05
3.1,3.275,3.45,-0.4,-0.375,-0.35,1.811715803513351e-05
3.1,3.275,3.45,-0.35,-0.325,-0.3,1.7793665165714877e-05
3.1,3.275,3.45,-0.3,-0.275,-0.25,1.7571958514881295e-05
3.1,3.275,3.45,-0.25,-0.225,-0.2,1.730503061980676e-05
3.1,3.275,3.45,-0.2,-0.175,-0.15,1.7138809080121484e-05
3.1,3.275,3.45,-0.15,-0.125,-0.1,1.6943128983280928e-05
3.1,3.275,3.45,-0.1,-0.075,-0.05,1.6892735296880495e-05
3.1,3.275,3.45,-0.05,-0.025,0.0,1.6747994962074553e-05
3.1,3.275,3.45,0.0,0.025,0.05,1.6648500309133888e-05
3.1,3.275,3.45,0.05,0.075,0.1,1.6547550164563876e-05
3.1,3.275,3.45,0.1,0.125,0.15,1.6490954470002414e-05
3.1,3.275,3.45,0.15,0.175,0.2,1.6513488271926505e-05
3.1,3.275,3.45,0.2,0.225,0.25,1.6488306397869714e-05
3.1,3.275,3.45,0.25,0.275,0.3,1.649508180080083e-05
3.1,3.275,3.45,0.3,0.325,0.35,1.6576222559346575e-05
3.1,3.275,3.45,0.35,0.375,0.4,1.6651876936320564e-05
3.1,3.275,3.45,0.4,0.425,0.45,1.6869159480478398e-05
3.1,3.275,3.45,0.45,0.475,0.5,1.695853927414254e-05
3.1,3.275,3.45,0.5,0.525,0.55,1.7135161435584062e-05
3.1,3.275,3.45,0.55,0.575,0.6,1.727885733151437e-05
3.1,3.275,3.45,0.6,0.625,0.65,1.743624690350968e-05
3.1,3.275,3.45,0.65,0.675,0.7,1.7458490657407195e-05
3.1,3.275,3.45,0.7,0.725,0.75,1.7269564213267117e-05
3.1,3.275,3.45,0.75,0.775,0.8,1.5944480777638094e-05
3.1,3.275,3.45,0.8,0.825,0.85,1.20791261548031e-05
3.1,3.275,3.45,0.85,0.875,0.9,6.061291128142601e-06
3.1,3.275,3.45,0.9,0.925,0.95,0.0
3.1,3.275,3.45,0.95,0.975,1.0,0.0
3.45,3.625,3.8,-1.0,-0.975,-0.95,1.2457638029606668e-05
3.45,3.625,3.8,-0.95,-0.925,-0.9,1.4222145409969446e-05
3.45,3.625,3.8,-0.9,-0.875,-0.85,1.592757755700427e-05
3.45,3.625,3.8,-0.85,-0.825,-0.8,1.7995783009309846e-05
3.45,3.625,3.8,-0.8,-0.775,-0.75,1.919376571859187e-05
3.45,3.625,3.8,-0.75,-0.725,-0.7,1.889684728114818e-05
3.45,3.625,3.8,-0.7,-0.675,-0.65,1.6931349789213247e-05
3.45,3.625,3.8,-0.65,-0.625,-0.6,1.4434796268794183e-05
3.45,3.625,3.8,-0.6,-0.575,-0.55,1.3281636380462734e-05
3.45,3.625,3.8,-0.55,-0.525,-0.5,1.2508924866614535e-05
3.45,3.625,3.8,-0.5,-0.475,-0.45,1.1938229247173997e-05
3.45,3.625,3.8,-0.45,-0.425,-0.4,1.1507071296175193e-05
3.45,3.625,3.8,-0.4,-0.375,-0.35,1.1182181494602607e-05
3.45,3.625,3.8,-0.35,-0.325,-0.3,1.093301115847909e-05
3.45,3.625,3.8,-0.3,-0.275,-0.25,1.0746131369240212e-05
3.45,3.625,3.8,-0.25,-0.225,-0.2,1.0565332660319241e-05
3.45,3.625,3.8,-0.2,-0.175,-0.15,1.0440422841891746e-05
3.45,3.625,3.8,-0.15,-0.125,-0.1,1.0290492398444782e-05
3.45,3.625,3.8,-0.1,-0.075,-0.05,1.0200145474261546e-05
3.45,3.625,3.8,-0.05,-0.025,0.0,1.0104631455622668e-05
3.45,3.625,3.8,0.0,0.025,0.05,1.0022729690126788e-05
3.45,3.625,3.8,0.05,0.075,0.1,9.956998300209096e-06
3.45,3.625,3.8,0.1,0.125,0.15,9.921818390929528e-06
3.45,3.625,3.8,0.15,0.175,0.2,9.946640610617581e-06
3.45,3.625,3.8,0.2,0.225,0.25,9.99191398530141e-06
3.45,3.625,3.8,0.25,0.275,0.3,1.0048133248358034e-05
3.45,3.625,3.8,0.3,0.325,0.35,1.0162805264293728e-05
3.45,3.625,3.8,0.35,0.375,0.4,1.0252245724317273e-05
3.45,3.625,3.8,0.4,0.425,0.45,1.0288724666598676e-05
3.45,3.625,3.8,0.45,0.475,0.5,1.0377290394050045e-05
3.45,3.625,3.8,0.5,0.525,0.55,1.0589894331919934e-05
3.45,3.625,3.8,0.55,0.575,0.6,1.0777108204135886e-05
3.45,3.625,3.8,0.6,0.625,0.65,1.093153518295795e-05
3.45,3.625,3.8,0.65,0.675,0.7,1.1070083990563845e-05
3.45,3.625,3.8,0.7,0.725,0.75,1.1002383133502235e-05
3.45,3.625,3.8,0.75,0.775,0.8,1.0747264275310824e-05
3.45,3.625,3.8,0.8,0.825,0.85,8.00847745582329e-06
3.45,3.625,3.8,0.85,0.875,0.9,3.968090379560695e-06
3.45,3.625,3.8,0.9,0.925,0.95,0.0
