log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
3.100,3.275,3.450,-3.2208289876084426,0.0
3.100,3.275,3.450,-3.2176997867554644,0.0
3.100,3.275,3.450,-3.2145705859024862,0.0
3.100,3.275,3.450,-3.211441385049508,0.0
3.100,3.275,3.450,-3.20831218419653,0.0
3.100,3.275,3.450,-3.2051829833435517,0.0
3.100,3.275,3.450,-3.202053782490574,0.0
3.100,3.275,3.450,-3.1989245816375957,0.0
3.100,3.275,3.450,-3.1957953807846176,0.0
3.100,3.275,3.450,-3.1926661799316394,0.0
3.100,3.275,3.450,-3.189536979078661,0.0
3.100,3.275,3.450,-3.186407778225683,0.0
3.100,3.275,3.450,-3.183278577372705,0.0
3.100,3.275,3.450,-3.1801493765197266,0.0
3.100,3.275,3.450,-3.1770201756667484,0.0
3.100,3.275,3.450,-3.1738909748137702,0.0
3.100,3.275,3.450,-3.170761773960792,0.0
3.100,3.275,3.450,-3.167632573107814,0.0
3.100,3.275,3.450,-3.1645033722548357,0.0
3.100,3.275,3.450,-3.161374171401858,0.0
3.100,3.275,3.450,-3.1582449705488798,0.0
3.100,3.275,3.450,-3.1551157696959016,0.0
3.100,3.275,3.450,-3.1519865688429234,0.0
3.100,3.275,3.450,-3.148857367989945,0.0
3.100,3.275,3.450,-3.145728167136967,0.0
3.100,3.275,3.450,-3.142598966283989,0.0
3.100,3.275,3.450,-3.139469765431011,0.0
3.100,3.275,3.450,-3.136340564578033,0.0
3.100,3.275,3.450,-3.1332113637250547,0.0
3.100,3.275,3.450,-3.1300821628720765,0.0
3.100,3.275,3.450,-3.1269529620190983,0.0
3.100,3.275,3.450,-3.12382376116612,0.0
3.100,3.275,3.450,-3.120694560313142,0.0
3.100,3.275,3.450,-3.1175653594601638,0.0
3.100,3.275,3.450,-3.1144361586071856,0.0
3.100,3.275,3.450,-3.1113069577542074,0.0
3.100,3.275,3.450,-3.108177756901229,0.0
3.100,3.275,3.450,-3.105048556048251,0.0
3.100,3.275,3.450,-3.101919355195273,0.0
3.100,3.275,3.450,-3.098790154342295,0.0
3.100,3.275,3.450,-3.095660953489317,0.0
3.100,3.275,3.450,-3.0925317526363387,0.0
3.100,3.275,3.450,-3.0894025517833605,0.0
3.100,3.275,3.450,-3.0862733509303824,0.0
3.100,3.275,3.450,-3.083144150077404,0.0
3.100,3.275,3.450,-3.080014949224426,0.0
3.100,3.275,3.450,-3.0768857483714482,0.0
3.100,3.275,3.450,-3.07375654751847,0.0
3.100,3.275,3.450,-3.070627346665492,0.0
3.100,3.275,3.450,-3.0674981458125137,0.0
3.100,3.275,3.450,-3.0643689449595355,0.0
3.100,3.275,3.450,-3.0612397441065573,0.0
3.100,3.275,3.450,-3.058110543253579,0.0
3.100,3.275,3.450,-3.054981342400601,0.0
3.100,3.275,3.450,-3.0518521415476227,0.0
3.100,3.275,3.450,-3.0487229406946446,0.0
3.100,3.275,3.450,-3.0455937398416664,0.0
3.100,3.275,3.450,-3.042464538988688,0.0
3.100,3.275,3.450,-3.03933533813571,0.0
3.100,3.275,3.450,-3.0362061372827323,0.0
3.100,3.275,3.450,-3.033076936429754,0.0
3.100,3.275,3.450,-3.029947735576776,0.0
3.100,3.275,3.450,-3.0268185347237977,0.0
3.100,3.275,3.450,-3.0236893338708195,0.0
3.100,3.275,3.450,-3.0205601330178413,0.0
3.100,3.275,3.450,-3.017430932164863,0.0
3.100,3.275,3.450,-3.0143017313118854,0.0
3.100,3.275,3.450,-3.011172530458907,0.0
3.100,3.275,3.450,-3.008043329605929,0.0
3.100,3.275,3.450,-3.004914128752951,0.0
3.100,3.275,3.450,-3.0017849278999726,0.0
3.100,3.275,3.450,-2.9986557270469945,0.0
3.100,3.275,3.450,-2.9955265261940163,0.0
3.100,3.275,3.450,-2.992397325341038,0.0
3.100,3.275,3.450,-2.98926812448806,0.0
3.100,3.275,3.450,-2.9861389236350817,0.0
3.100,3.275,3.450,-2.9830097227821035,0.0
3.100,3.275,3.450,-2.9798805219291253,0.0
3.100,3.275,3.450,-2.976751321076147,0.0
3.100,3.275,3.450,-2.973622120223169,0.0
3.100,3.275,3.450,-2.970492919370191,0.0
3.100,3.275,3.450,-2.967363718517213,0.0
3.100,3.275,3.450,-2.964234517664235,0.0
3.100,3.275,3.450,-2.9611053168112567,0.0
3.100,3.275,3.450,-2.9579761159582785,0.0
3.100,3.275,3.450,-2.9548469151053007,0.0
3.100,3.275,3.450,-2.9517177142523225,0.0
3.100,3.275,3.450,-2.9485885133993444,0.0
3.100,3.275,3.450,-2.945459312546366,0.0
3.100,3.275,3.450,-2.942330111693388,0.0
3.100,3.275,3.450,-2.93920091084041,0.0
3.100,3.275,3.450,-2.9360717099874316,0.0
3.100,3.275,3.450,-2.9329425091344534,0.0
3.100,3.275,3.450,-2.9298133082814752,0.0
3.100,3.275,3.450,-2.926684107428497,0.0
3.100,3.275,3.450,-2.923554906575519,0.0
3.100,3.275,3.450,-2.9204257057225407,0.0
3.100,3.275,3.450,-2.9172965048695625,0.0
3.100,3.275,3.450,-2.9141673040165843,0.0
3.100,3.275,3.450,-2.911038103163606,0.0
3.100,3.275,3.450,-2.9079089023106284,0.0
3.100,3.275,3.450,-2.90477970145765,0.0
3.100,3.275,3.450,-2.901650500604672,0.0
3.100,3.275,3.450,-2.898521299751694,0.0
3.100,3.275,3.450,-2.8953920988987156,0.0
3.100,3.275,3.450,-2.892262898045738,0.0
3.100,3.275,3.450,-2.8891336971927597,0.0
3.100,3.275,3.450,-2.8860044963397815,0.0
3.100,3.275,3.450,-2.8828752954868033,0.0
3.100,3.275,3.450,-2.879746094633825,0.0
3.100,3.275,3.450,-2.876616893780847,0.0
3.100,3.275,3.450,-2.8734876929278688,0.0
3.100,3.275,3.450,-2.8703584920748906,0.0
3.100,3.275,3.450,-2.8672292912219124,0.0
3.100,3.275,3.450,-2.864100090368934,0.0
3.100,3.275,3.450,-2.860970889515956,0.0
3.100,3.275,3.450,-2.857841688662978,0.0
3.100,3.275,3.450,-2.8547124878099996,0.0
3.100,3.275,3.450,-2.8515832869570215,0.0
3.100,3.275,3.450,-2.8484540861040433,0.0
3.100,3.275,3.450,-2.8453248852510655,0.0
3.100,3.275,3.450,-2.8421956843980873,0.0
3.100,3.275,3.450,-2.839066483545109,0.0
3.100,3.275,3.450,-2.835937282692131,0.0
3.100,3.275,3.450,-2.832808081839153,0.0
3.100,3.275,3.450,-2.829678880986175,0.0
3.100,3.275,3.450,-2.826549680133197,0.0
3.100,3.275,3.450,-2.8234204792802187,0.0
3.100,3.275,3.450,-2.8202912784272405,0.0
3.100,3.275,3.450,-2.8171620775742623,0.0
3.100,3.275,3.450,-2.814032876721284,0.0
3.100,3.275,3.450,-2.810903675868306,0.0
3.100,3.275,3.450,-2.8077744750153277,0.0
3.100,3.275,3.450,-2.8046452741623495,0.0
3.100,3.275,3.450,-2.8015160733093714,0.0
3.100,3.275,3.450,-2.798386872456393,0.0
3.100,3.275,3.450,-2.795257671603415,0.0
3.100,3.275,3.450,-2.792128470750437,0.0
3.100,3.275,3.450,-2.7889992698974586,0.0
3.100,3.275,3.450,-2.7858700690444804,0.0
3.100,3.275,3.450,-2.7827408681915022,0.0
3.100,3.275,3.450,-2.7796116673385245,0.0
3.100,3.275,3.450,-2.7764824664855463,0.0
3.100,3.275,3.450,-2.773353265632568,0.0
3.100,3.275,3.450,-2.77022406477959,0.0
3.100,3.275,3.450,-2.7670948639266117,0.0
3.100,3.275,3.450,-2.763965663073634,0.0
3.100,3.275,3.450,-2.760836462220656,0.0
3.100,3.275,3.450,-2.7577072613676776,0.0
3.100,3.275,3.450,-2.7545780605146994,0.0
3.100,3.275,3.450,-2.7514488596617213,0.0
3.100,3.275,3.450,-2.748319658808743,0.0
3.100,3.275,3.450,-2.745190457955765,0.0
3.100,3.275,3.450,-2.7420612571027867,0.0
3.100,3.275,3.450,-2.7389320562498085,0.0
3.100,3.275,3.450,-2.7358028553968303,0.0
3.100,3.275,3.450,-2.732673654543852,0.0
3.100,3.275,3.450,-2.729544453690874,0.0
3.100,3.275,3.450,-2.7264152528378958,0.0
3.100,3.275,3.450,-2.7232860519849176,0.0
3.100,3.275,3.450,-2.7201568511319394,0.0
3.100,3.275,3.450,-2.7170276502789616,0.0
3.100,3.275,3.450,-2.7138984494259835,0.0
3.100,3.275,3.450,-2.7107692485730053,0.0
3.100,3.275,3.450,-2.707640047720027,0.0
3.100,3.275,3.450,-2.704510846867049,0.0
3.100,3.275,3.450,-2.701381646014071,0.0
3.100,3.275,3.450,-2.698252445161093,0.0
3.100,3.275,3.450,-2.695123244308115,0.0
3.100,3.275,3.450,-2.6919940434551366,0.0
3.100,3.275,3.450,-2.6888648426021584,0.0
3.100,3.275,3.450,-2.6857356417491802,0.0
3.100,3.275,3.450,-2.682606440896202,0.0
3.100,3.275,3.450,-2.679477240043224,0.0
3.100,3.275,3.450,-2.6763480391902457,0.0
3.100,3.275,3.450,-2.6732188383372675,0.0
3.100,3.275,3.450,-2.6700896374842893,0.0
3.100,3.275,3.450,-2.666960436631311,0.0
3.100,3.275,3.450,-2.663831235778333,0.0
3.100,3.275,3.450,-2.6607020349253547,0.0
3.100,3.275,3.450,-2.6575728340723765,0.0
3.100,3.275,3.450,-2.654443633219399,0.0
3.100,3.275,3.450,-2.6513144323664206,0.0
3.100,3.275,3.450,-2.6481852315134424,0.0
3.100,3.275,3.450,-2.6450560306604642,0.0
3.100,3.275,3.450,-2.641926829807486,0.0
3.100,3.275,3.450,-2.6387976289545083,0.0
3.100,3.275,3.450,-2.63566842810153,0.0
3.100,3.275,3.450,-2.632539227248552,0.0
3.100,3.275,3.450,-2.6294100263955738,0.0
3.100,3.275,3.450,-2.6262808255425956,0.0
3.100,3.275,3.450,-2.6231516246896174,0.0
3.100,3.275,3.450,-2.620022423836639,0.0
3.100,3.275,3.450,-2.616893222983661,0.0
3.100,3.275,3.450,-2.613764022130683,0.0
3.100,3.275,3.450,-2.6106348212777046,0.0
3.100,3.275,3.450,-2.6075056204247264,0.0
3.100,3.275,3.450,-2.6043764195717483,0.0
3.100,3.275,3.450,-2.60124721871877,0.0
3.100,3.275,3.450,-2.598118017865792,0.0
3.100,3.275,3.450,-2.5949888170128137,0.0
3.100,3.275,3.450,-2.591859616159836,0.0
3.100,3.275,3.450,-2.5887304153068578,0.0
3.100,3.275,3.450,-2.5856012144538796,0.0
3.100,3.275,3.450,-2.5824720136009014,0.0
3.100,3.275,3.450,-2.579342812747923,0.0
3.100,3.275,3.450,-2.5762136118949455,0.0
3.100,3.275,3.450,-2.5730844110419673,0.0
3.100,3.275,3.450,-2.569955210188989,0.0
3.100,3.275,3.450,-2.566826009336011,0.0
3.100,3.275,3.450,-2.5636968084830327,0.0
3.100,3.275,3.450,-2.5605676076300545,0.0
3.100,3.275,3.450,-2.5574384067770763,0.0
3.100,3.275,3.450,-2.554309205924098,0.0
3.100,3.275,3.450,-2.55118000507112,0.0
3.100,3.275,3.450,-2.548050804218142,0.0
3.100,3.275,3.450,-2.5449216033651636,0.0
3.100,3.275,3.450,-2.5417924025121854,0.0
3.100,3.275,3.450,-2.5386632016592072,0.0
3.100,3.275,3.450,-2.535534000806229,0.0
3.100,3.275,3.450,-2.532404799953251,0.0
3.100,3.275,3.450,-2.529275599100273,0.0
3.100,3.275,3.450,-2.526146398247295,0.0
3.100,3.275,3.450,-2.5230171973943167,0.0
3.100,3.275,3.450,-2.5198879965413385,0.0
3.100,3.275,3.450,-2.5167587956883604,0.0
3.100,3.275,3.450,-2.5136295948353826,0.0
3.100,3.275,3.450,-2.5105003939824044,0.0
3.100,3.275,3.450,-2.5073711931294262,0.0
3.100,3.275,3.450,-2.504241992276448,0.0
3.100,3.275,3.450,-2.50111279142347,0.0
3.100,3.275,3.450,-2.4979835905704917,0.0
3.100,3.275,3.450,-2.4948543897175135,0.0
3.100,3.275,3.450,-2.4917251888645353,0.0
3.100,3.275,3.450,-2.488595988011557,0.0
3.100,3.275,3.450,-2.485466787158579,0.0
3.100,3.275,3.450,-2.4823375863056008,0.0
3.100,3.275,3.450,-2.4792083854526226,0.0
3.100,3.275,3.450,-2.4760791845996444,0.0
3.100,3.275,3.450,-2.472949983746666,0.0
3.100,3.275,3.450,-2.469820782893688,0.0
3.100,3.275,3.450,-2.4666915820407103,0.0
3.100,3.275,3.450,-2.463562381187732,0.0
3.100,3.275,3.450,-2.460433180334754,0.0
3.100,3.275,3.450,-2.4573039794817757,0.0
3.100,3.275,3.450,-2.4541747786287975,0.0
3.100,3.275,3.450,-2.4510455777758198,0.0
3.100,3.275,3.450,-2.4479163769228416,0.0
3.100,3.275,3.450,-2.4447871760698634,0.0
3.100,3.275,3.450,-2.441657975216885,0.0
3.100,3.275,3.450,-2.438528774363907,0.0
3.100,3.275,3.450,-2.435399573510929,0.0
3.100,3.275,3.450,-2.4322703726579507,0.0
3.100,3.275,3.450,-2.4291411718049725,0.0
3.100,3.275,3.450,-2.4260119709519943,0.0
3.100,3.275,3.450,-2.422882770099016,0.0
3.100,3.275,3.450,-2.419753569246038,0.0
