log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
3.1,3.275,3.45,0.3,0.325,0.35,0.0
3.1,3.275,3.45,0.35,0.375,0.4,0.0
3.1,3.275,3.45,0.4,0.425,0.45,0.0
3.1,3.275,3.45,0.45,0.475,0.5,0.0
3.1,3.275,3.45,0.5,0.525,0.55,0.0
3.1,3.275,3.45,0.55,0.575,0.6,0.0
3.1,3.275,3.45,0.6,0.625,0.65,0.0
3.1,3.275,3.45,0.65,0.675,0.7,0.0
3.1,3.275,3.45,0.7,0.725,0.75,0.0
3.1,3.275,3.45,0.75,0.775,0.8,0.0
3.1,3.275,3.45,0.8,0.825,0.85,0.0
3.1,3.275,3.45,0.85,0.875,0.9,0.0
3.1,3.275,3.45,0.9,0.925,0.95,0.0
3.1,3.275,3.45,0.95,0.975,1.0,0.0
3.45,3.625,3.8,-1.0,-0.975,-0.95,3.236577100902812
3.45,3.625,3.8,-0.95,-0.925,-0.9,3.5039284155662993
3.45,3.625,3.8,-0.9,-0.875,-0.85,3.5769909209626096
3.45,3.625,3.8,-0.85,-0.825,-0.8,3.519210520320894
3.45,3.625,3.8,-0.8,-0.775,-0.75,3.5748674191324996
3.45,3.625,3.8,-0.75,-0.725,-0.7,3.5421709785603808
3.45,3.625,3.8,-0.7,-0.675,-0.65,3.553807649184775
3.45,3.625,3.8,-0.65,-0.625,-0.6,3.5333402804465797
3.45,3.625,3.8,-0.6,-0.575,-0.55,3.466406704213628
3.45,3.625,3.8,-0.55,-0.525,-0.5,3.4744203057014755
3.45,3.625,3.8,-0.5,-0.475,-0.45,3.4295594225989263
3.45,3.625,3.8,-0.45,-0.425,-0.4,3.548979008322406
3.45,3.625,3.8,-0.4,-0.375,-0.35,3.5653719529862373
3.45,3.625,3.8,-0.35,-0.325,-0.3,3.562016119215191
3.45,3.625,3.8,-0.3,-0.275,-0.25,3.5146200872005835
3.45,3.625,3.8,-0.25,-0.225,-0.2,3.486873078873187
3.45,3.625,3.8,-0.2,-0.175,-0.15,3.603998984678802
3.45,3.625,3.8,-0.15,-0.125,-0.1,3.7717539123654573
3.45,3.625,3.8,-0.1,-0.075,-0.05,3.619254098620797
3.45,3.625,3.8,-0.05,-0.025,0.0,3.7787849665902056
3.45,3.625,3.8,0.0,0.025,0.05,3.47207810158537
3.45,3.625,3.8,0.05,0.075,0.1,3.4986392484127524
3.45,3.625,3.8,0.1,0.125,0.15,3.368201200236639
3.45,3.625,3.8,0.15,0.175,0.2,0.0
3.45,3.625,3.8,0.2,0.225,0.25,0.0
3.45,3.625,3.8,0.25,0.275,0.3,0.0
3.45,3.625,3.8,0.3,0.325,0.35,0.0
3.45,3.625,3.8,0.35,0.375,0.4,0.0
3.45,3.625,3.8,0.4,0.425,0.45,0.0
3.45,3.625,3.8,0.45,0.475,0.5,0.0
3.45,3.625,3.8,0.5,0.525,0.55,0.0
3.45,3.625,3.8,0.55,0.575,0.6,0.0
3.45,3.625,3.8,0.6,0.625,0.65,0.0
3.45,3.625,3.8,0.65,0.675,0.7,0.0
3.45,3.625,3.8,0.7,0.725,0.75,0.0
3.45,3.625,3.8,0.75,0.775,0.8,0.0
3.45,3.625,3.8,0.8,0.825,0.85,0.0
3.45,3.625,3.8,0.85,0.875,0.9,0.0
3.45,3.625,3.8,0.9,0.925,0.95,0.0
3.45,3.625,3.8,0.95,0.975,1.0,0.0
3.8,3.975,4.15,-1.0,-0.975,-0.95,9.470711087016198
3.8,3.975,4.15,-0.95,-0.925,-0.9,10.485181319183091
3.8,3.975,4.15,-0.9,-0.875,-0.85,10.703330771030904
3.8,3.975,4.15,-0.85,-0.825,-0.8,10.963799273091752
3.8,3.975,4.15,-0.8,-0.775,-0.75,10.848337171003184
3.8,3.975,4.15,-0.75,-0.725,-0.7,10.88513732682334
3.8,3.975,4.15,-0.7,-0.675,-0.65,10.831037505620335
3.8,3.975,4.15,-0.65,-0.625,-0.6,10.701364785017716
3.8,3.975,4.15,-0.6,-0.575,-0.55,10.786401553670746
3.8,3.975,4.15,-0.55,-0.525,-0.5,10.776293527624617
3.8,3.975,4.15,-0.5,-0.475,-0.45,10.697571898043913
3.8,3.975,4.15,-0.45,-0.425,-0.4,10.913197170849351
3.8,3.975,4.15,-0.4,-0.375,-0.35,11.132921913852964
3.8,3.975,4.15,-0.35,-0.325,-0.3,11.02969208121867
3.8,3.975,4.15,-0.3,-0.275,-0.25,10.994078282315531
3.8,3.975,4.15,-0.25,-0.225,-0.2,10.843016954617113
3.8,3.975,4.15,-0.2,-0.175,-0.15,10.776571392106515
3.8,3.975,4.15,-0.15,-0.125,-0.1,11.334268015905996
3.8,3.975,4.15,-0.1,-0.075,-0.05,11.68287489244793
3.8,3.975,4.15,-0.05,-0.025,0.0,11.844123116023994
3.8,3.975,4.15,0.0,0.025,0.05,11.598074596032285
3.8,3.975,4.15,0.05,0.075,0.1,11.753244433187394
3.8,3.975,4.15,0.1,0.125,0.15,11.535794555520976
3.8,3.975,4.15,0.15,0.175,0.2,0.0
3.8,3.975,4.15,0.2,0.225,0.25,0.0
3.8,3.975,4.15,0.25,0.275,0.3,0.0
3.8,3.975,4.15,0.3,0.325,0.35,0.0
3.8,3.975,4.15,0.35,0.375,0.4,0.0
3.8,3.975,4.15,0.4,0.425,0.45,0.0
3.8,3.975,4.15,0.45,0.475,0.5,0.0
3.8,3.975,4.15,0.5,0.525,0.55,0.0
3.8,3.975,4.15,0.55,0.575,0.6,0.0
3.8,3.975,4.15,0.6,0.625,0.65,0.0
3.8,3.975,4.15,0.65,0.675,0.7,0.0
3.8,3.975,4.15,0.7,0.725,0.75,0.0
3.8,3.975,4.15,0.75,0.775,0.8,0.0
3.8,3.975,4.15,0.8,0.825,0.85,0.0
3.8,3.975,4.15,0.85,0.875,0.9,0.0
3.8,3.975,4.15,0.9,0.925,0.95,0.0
3.8,3.975,4.15,0.95,0.975,1.0,0.0
4.15,4.325,4.5,-1.0,-0.975,-0.95,21.57782341342857
4.15,4.325,4.5,-0.95,-0.925,-0.9,24.00143659161713
4.15,4.325,4.5,-0.9,-0.875,-0.85,25.50483453222097
4.15,4.325,4.5,-0.85,-0.825,-0.8,26.82983632292924
4.15,4.325,4.5,-0.8,-0.775,-0.75,27.177083073716474
4.15,4.325,4.5,-0.75,-0.725,-0.7,27.821496702488954
4.15,4.325,4.5,-0.7,-0.675,-0.65,28.120349571839085
4.15,4.325,4.5,-0.65,-0.625,-0.6,27.333985322686537
4.15,4.325,4.5,-0.6,-0.575,-0.55,27.582684537121636
4.15,4.325,4.5,-0.55,-0.525,-0.5,27.651323276846767
4.15,4.325,4.5,-0.5,-0.475,-0.45,28.008508839480275
4.15,4.325,4.5,-0.45,-0.425,-0.4,28.24302020545634
4.15,4.325,4.5,-0.4,-0.375,-0.35,29.252660768543834
4.15,4.325,4.5,-0.35,-0.325,-0.3,27.742859240852887
4.15,4.325,4.5,-0.3,-0.275,-0.25,29.267877222792883
4.15,4.325,4.5,-0.25,-0.225,-0.2,29.416328756850305
4.15,4.325,4.5,-0.2,-0.175,-0.15,29.64883967686201
4.15,4.325,4.5,-0.15,-0.125,-0.1,30.3077765924153
4.15,4.325,4.5,-0.1,-0.075,-0.05,30.620452370882106
4.15,4.325,4.5,-0.05,-0.025,0.0,31.810946979095664
4.15,4.325,4.5,0.0,0.025,0.05,31.59959196639804
4.15,4.325,4.5,0.05,0.075,0.1,32.40758247124471
4.15,4.325,4.5,0.1,0.125,0.15,30.99115961758786
4.15,4.325,4.5,0.15,0.175,0.2,0.0
4.15,4.325,4.5,0.2,0.225,0.25,0.0
4.15,4.325,4.5,0.25,0.275,0.3,0.0
4.15,4.325,4.5,0.3,0.325,0.35,0.0
4.15,4.325,4.5,0.35,0.375,0.4,0.0
4.15,4.325,4.5,0.4,0.425,0.45,0.0
4.15,4.325,4.5,0.45,0.475,0.5,0.0
4.15,4.325,4.5,0.5,0.525,0.55,0.0
4.15,4.325,4.5,0.55,0.575,0.6,0.0
4.15,4.325,4.5,0.6,0.625,0.65,0.0
4.15,4.325,4.5,0.65,0.675,0.7,0.0
4.15,4.325,4.5,0.7,0.725,0.75,0.0
4.15,4.325,4.5,0.75,0.775,0.8,0.0
4.15,4.325,4.5,0.8,0.825,0.85,0.0
4.15,4.325,4.5,0.85,0.875,0.9,0.0
4.15,4.325,4.5,0.9,0.925,0.95,0.0
4.15,4.325,4.5,0.95,0.975,1.0,0.0
4.5,4.675,4.85,-1.0,-0.975,-0.95,37.906684562936604
4.5,4.675,4.85,-0.95,-0.925,-0.9,43.64427233707465
4.5,4.675,4.85,-0.9,-0.875,-0.85,48.412254015970284
4.5,4.675,4.85,-0.85,-0.825,-0.8,53.99383645606744
4.5,4.675,4.85,-0.8,-0.775,-0.75,55.868807309310725
4.5,4.675,4.85,-0.75,-0.725,-0.7,56.762455010899686
4.5,4.675,4.85,-0.7,-0.675,-0.65,59.216961893955094
4.5,4.675,4.85,-0.65,-0.625,-0.6,58.16832352961447
4.5,4.675,4.85,-0.6,-0.575,-0.55,58.12656525301459
4.5,4.675,4.85,-0.55,-0.525,-0.5,59.28774330915722
4.5,4.675,4.85,-0.5,-0.475,-0.45,60.413739532987094
4.5,4.675,4.85,-0.45,-0.425,-0.4,61.01875976360617
4.5,4.675,4.85,-0.4,-0.375,-0.35,62.172301912986725
4.5,4.675,4.85,-0.35,-0.325,-0.3,64.25219723753906
4.5,4.675,4.85,-0.3,-0.275,-0.25,63.94785898900102
4.5,4.675,4.85,-0.25,-0.225,-0.2,65.938679877326
4.5,4.675,4.85,-0.2,-0.175,-0.15,67.41707935843125
4.5,4.675,4.85,-0.15,-0.125,-0.1,67.05090332876114
4.5,4.675,4.85,-0.1,-0.075,-0.05,70.04857251873344
4.5,4.675,4.85,-0.05,-0.025,0.0,76.16663894086597
4.5,4.675,4.85,0.0,0.025,0.05,78.55180023238111
4.5,4.675,4.85,0.05,0.075,0.1,76.91946158372185
4.5,4.675,4.85,0.1,0.125,0.15,75.11723869288781
4.5,4.675,4.85,0.15,0.175,0.2,0.0
4.5,4.675,4.85,0.2,0.225,0.25,0.0
4.5,4.675,4.85,0.25,0.275,0.3,0.0
4.5,4.675,4.85,0.3,0.325,0.35,0.0
4.5,4.675,4.85,0.35,0.375,0.4,0.0
4.5,4.675,4.85,0.4,0.425,0.45,0.0
4.5,4.675,4.85,0.45,0.475,0.5,0.0
4.5,4.675,4.85,0.5,0.525,0.55,0.0
4.5,4.675,4.85,0.55,0.575,0.6,0.0
4.5,4.675,4.85,0.6,0.625,0.65,0.0
4.5,4.675,4.85,0.65,0.675,0.7,0.0
4.5,4.675,4.85,0.7,0.725,0.75,0.0
4.5,4.675,4.85,0.75,0.775,0.8,0.0
4.5,4.675,4.85,0.8,0.825,0.85,0.0
4.5,4.675,4.85,0.85,0.875,0.9,0.0
4.5,4.675,4.85,0.9,0.925,0.95,0.0
4.5,4.675,4.85,0.95,0.975,1.0,0.0
4.85,5.025,5.2,-1.0,-0.975,-0.95,48.31343254750392
4.85,5.025,5.2,-0.95,-0.925,-0.9,61.2661497924128
4.85,5.025,5.2,-0.9,-0.875,-0.85,72.32233523454656
4.85,5.025,5.2,-0.85,-0.825,-0.8,90.36911231702325
4.85,5.025,5.2,-0.8,-0.775,-0.75,92.98626100297439
4.85,5.025,5.2,-0.75,-0.725,-0.7,98.99064138679944
4.85,5.025,5.2,-0.7,-0.675,-0.65,101.70615644374365
4.85,5.025,5.2,-0.65,-0.625,-0.6,102.5763751913274
4.85,5.025,5.2,-0.6,-0.575,-0.55,105.70249614067873
4.85,5.025,5.2,-0.55,-0.525,-0.5,109.25224573862447
4.85,5.025,5.2,-0.5,-0.475,-0.45,114.98221073733922
4.85,5.025,5.2,-0.45,-0.425,-0.4,119.60743779754053
4.85,5.025,5.2,-0.4,-0.375,-0.35,121.26575507493612
4.85,5.025,5.2,-0.35,-0.325,-0.3,123.31461334306542
4.85,5.025,5.2,-0.3,-0.275,-0.25,127.75656514788736
4.85,5.025,5.2,-0.25,-0.225,-0.2,130.14968545286482
4.85,5.025,5.2,-0.2,-0.175,-0.15,130.68663840124145
4.85,5.025,5.2,-0.15,-0.125,-0.1,138.15448685617727
4.85,5.025,5.2,-0.1,-0.075,-0.05,140.80849613620796
4.85,5.025,5.2,-0.05,-0.025,0.0,154.21967794420405
4.85,5.025,5.2,0.0,0.025,0.05,164.92364434830534
4.85,5.025,5.2,0.05,0.075,0.1,157.3839927910295
4.85,5.025,5.2,0.1,0.125,0.15,155.28217298297358
4.85,5.025,5.2,0.15,0.175,0.2,0.0
4.85,5.025,5.2,0.2,0.225,0.25,0.0
4.85,5.025,5.2,0.25,0.275,0.3,0.0
4.85,5.025,5.2,0.3,0.325,0.35,0.0
4.85,5.025,5.2,0.35,0.375,0.4,0.0
4.85,5.025,5.2,0.4,0.425,0.45,0.0
