log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
1.700,1.875,2.050,-2.9986557270469945,132.01815386625185
1.700,1.875,2.050,-2.9955265261940163,132.01815386626518
1.700,1.875,2.050,-2.992397325341038,132.01815386627771
1.700,1.875,2.050,-2.98926812448806,132.01815386628945
1.700,1.875,2.050,-2.9861389236350817,132.01815386630042
1.700,1.875,2.050,-2.9830097227821035,132.01815386631066
1.700,1.875,2.050,-2.9798805219291253,132.01815386632015
1.700,1.875,2.050,-2.976751321076147,132.01815386632893
1.700,1.875,2.050,-2.973622120223169,132.01815386633703
1.700,1.875,2.050,-2.970492919370191,132.01815386634448
1.700,1.875,2.050,-2.967363718517213,132.0181538663513
1.700,1.875,2.050,-2.964234517664235,132.01815386635747
1.700,1.875,2.050,-2.9611053168112567,132.01815386636304
1.700,1.875,2.050,-2.9579761159582785,132.01815386636804
1.700,1.875,2.050,-2.9548469151053007,132.01815386637247
1.700,1.875,2.050,-2.9517177142523225,132.0181538663764
1.700,1.875,2.050,-2.9485885133993444,132.01815386637978
1.700,1.875,2.050,-2.945459312546366,132.01815386638265
1.700,1.875,2.050,-2.942330111693388,132.01815386638506
1.700,1.875,2.050,-2.93920091084041,132.01815386638705
1.700,1.875,2.050,-2.9360717099874316,132.01815386638856
1.700,1.875,2.050,-2.9329425091344534,132.0181538663897
1.700,1.875,2.050,-2.9298133082814752,132.01815386639043
1.700,1.875,2.050,-2.926684107428497,132.01815386639078
1.700,1.875,2.050,-2.923554906575519,132.0181538663908
1.700,1.875,2.050,-2.9204257057225407,132.0181538663905
1.700,1.875,2.050,-2.9172965048695625,132.01815386638987
1.700,1.875,2.050,-2.9141673040165843,132.01815386638896
1.700,1.875,2.050,-2.911038103163606,132.0181538663878
1.700,1.875,2.050,-2.9079089023106284,132.0181538663864
1.700,1.875,2.050,-2.90477970145765,132.01815386638475
1.700,1.875,2.050,-2.901650500604672,132.01815386638293
1.700,1.875,2.050,-2.898521299751694,132.0181538663809
1.700,1.875,2.050,-2.8953920988987156,132.01815386637875
1.700,1.875,2.050,-2.892262898045738,132.01815386637642
1.700,1.875,2.050,-2.8891336971927597,132.018153866374
1.700,1.875,2.050,-2.8860044963397815,132.0181538663715
1.700,1.875,2.050,-2.8828752954868033,132.0181538663689
1.700,1.875,2.050,-2.879746094633825,132.01815386636625
1.700,1.875,2.050,-2.876616893780847,132.01815386636358
1.700,1.875,2.050,-2.8734876929278688,132.0181538663609
1.700,1.875,2.050,-2.8703584920748906,132.0181538663582
1.700,1.875,2.050,-2.8672292912219124,132.01815386635556
1.700,1.875,2.050,-2.864100090368934,132.01815386635298
1.700,1.875,2.050,-2.860970889515956,132.01815386635045
1.700,1.875,2.050,-2.857841688662978,132.01815386634803
1.700,1.875,2.050,-2.8547124878099996,132.01815386634573
1.700,1.875,2.050,-2.8515832869570215,132.01815386634354
1.700,1.875,2.050,-2.8484540861040433,132.01815386634152
1.700,1.875,2.050,-2.8453248852510655,132.0181538663397
1.700,1.875,2.050,-2.8421956843980873,132.01815386633805
1.700,1.875,2.050,-2.839066483545109,132.01815386633663
1.700,1.875,2.050,-2.835937282692131,132.01815386633547
1.700,1.875,2.050,-2.832808081839153,132.01815386633456
1.700,1.875,2.050,-2.829678880986175,132.01815386633393
1.700,1.875,2.050,-2.826549680133197,132.0181538663336
1.700,1.875,2.050,-2.8234204792802187,132.0181538663336
1.700,1.875,2.050,-2.8202912784272405,132.01815386633396
1.700,1.875,2.050,-2.8171620775742623,132.01815386633467
1.700,1.875,2.050,-2.814032876721284,132.01815386633578
1.700,1.875,2.050,-2.810903675868306,132.0181538663373
1.700,1.875,2.050,-2.8077744750153277,132.01815386633925
1.700,1.875,2.050,-2.8046452741623495,132.01815386634163
1.700,1.875,2.050,-2.8015160733093714,132.0181538663445
1.700,1.875,2.050,-2.798386872456393,132.0181538663479
1.700,1.875,2.050,-2.795257671603415,132.01815386635178
1.700,1.875,2.050,-2.792128470750437,132.0181538663562
1.700,1.875,2.050,-2.7889992698974586,132.01815386636116
1.700,1.875,2.050,-2.7858700690444804,132.01815386636673
1.700,1.875,2.050,-2.7827408681915022,132.0181538663729
1.700,1.875,2.050,-2.7796116673385245,132.01815386637966
1.700,1.875,2.050,-2.7764824664855463,132.01815386638708
1.700,1.875,2.050,-2.773353265632568,132.01815386639518
1.700,1.875,2.050,-2.77022406477959,132.01815386640388
1.700,1.875,2.050,-2.7670948639266117,132.01815386641317
1.700,1.875,2.050,-2.763965663073634,132.018153866423
1.700,1.875,2.050,-2.760836462220656,132.01815386643327
1.700,1.875,2.050,-2.7577072613676776,132.0181538664439
1.700,1.875,2.050,-2.7545780605146994,132.01815386645487
1.700,1.875,2.050,-2.7514488596617213,132.0181538664661
1.700,1.875,2.050,-2.748319658808743,132.01815386647755
1.700,1.875,2.050,-2.745190457955765,132.0181538664891
1.700,1.875,2.050,-2.7420612571027867,132.01815386650074
1.700,1.875,2.050,-2.7389320562498085,132.01815386651236
1.700,1.875,2.050,-2.7358028553968303,132.01815386652396
1.700,1.875,2.050,-2.732673654543852,132.01815386653544
1.700,1.875,2.050,-2.729544453690874,132.01815386654673
1.700,1.875,2.050,-2.7264152528378958,132.01815386655775
1.700,1.875,2.050,-2.7232860519849176,132.0181538665685
1.700,1.875,2.050,-2.7201568511319394,132.01815386657887
1.700,1.875,2.050,-2.7170276502789616,132.0181538665888
1.700,1.875,2.050,-2.7138984494259835,132.01815386659823
1.700,1.875,2.050,-2.7107692485730053,132.0181538666071
1.700,1.875,2.050,-2.707640047720027,132.01815386661534
1.700,1.875,2.050,-2.704510846867049,132.0181538666229
1.700,1.875,2.050,-2.701381646014071,132.01815386662972
1.700,1.875,2.050,-2.698252445161093,132.0181538666357
1.700,1.875,2.050,-2.695123244308115,132.01815386664083
1.700,1.875,2.050,-2.6919940434551366,132.018153866645
1.700,1.875,2.050,-2.6888648426021584,132.0181538666482
1.700,1.875,2.050,-2.6857356417491802,132.0181538666503
1.700,1.875,2.050,-2.682606440896202,132.0181538666513
1.700,1.875,2.050,-2.679477240043224,132.01815386665106
1.700,1.875,2.050,-2.6763480391902457,132.0181538666496
1.700,1.875,2.050,-2.6732188383372675,132.01815386664683
1.700,1.875,2.050,-2.6700896374842893,132.01815386664265
1.700,1.875,2.050,-2.666960436631311,132.01815386663705
1.700,1.875,2.050,-2.663831235778333,132.01815386662992
1.700,1.875,2.050,-2.6607020349253547,132.01815386662125
1.700,1.875,2.050,-2.6575728340723765,132.0181538666109
1.700,1.875,2.050,-2.654443633219399,132.01815386659888
1.700,1.875,2.050,-2.6513144323664206,132.0181538665851
1.700,1.875,2.050,-2.6481852315134424,132.0181538665695
1.700,1.875,2.050,-2.6450560306604642,132.01815386655198
1.700,1.875,2.050,-2.641926829807486,132.01815386653254
1.700,1.875,2.050,-2.6387976289545083,132.01815386651108
1.700,1.875,2.050,-2.63566842810153,132.01815386648755
1.700,1.875,2.050,-2.632539227248552,132.01815386646186
1.700,1.875,2.050,-2.6294100263955738,132.01815386643398
1.700,1.875,2.050,-2.6262808255425956,132.01815386640385
1.700,1.875,2.050,-2.6231516246896174,132.01815386637136
1.700,1.875,2.050,-2.620022423836639,132.0181538663367
1.700,1.875,2.050,-2.616893222983661,132.01815386630003
1.700,1.875,2.050,-2.613764022130683,132.0181538662616
1.700,1.875,2.050,-2.6106348212777046,132.01815386622164
1.700,1.875,2.050,-2.6075056204247264,132.0181538661804
1.700,1.875,2.050,-2.6043764195717483,132.0181538661381
1.700,1.875,2.050,-2.60124721871877,132.01815386609496
1.700,1.875,2.050,-2.598118017865792,132.01815386605125
1.700,1.875,2.050,-2.5949888170128137,132.01815386600717
1.700,1.875,2.050,-2.591859616159836,132.01815386596294
1.700,1.875,2.050,-2.5887304153068578,132.0181538659188
1.700,1.875,2.050,-2.5856012144538796,132.018153865875
1.700,1.875,2.050,-2.5824720136009014,132.01815386583178
1.700,1.875,2.050,-2.579342812747923,132.01815386578932
1.700,1.875,2.050,-2.5762136118949455,132.0181538657479
1.700,1.875,2.050,-2.5730844110419673,132.01815386570775
1.700,1.875,2.050,-2.569955210188989,132.01815386566906
1.700,1.875,2.050,-2.566826009336011,132.01815386563212
1.700,1.875,2.050,-2.5636968084830327,132.0181538655971
1.700,1.875,2.050,-2.5605676076300545,132.01815386556427
1.700,1.875,2.050,-2.5574384067770763,132.01815386553386
1.700,1.875,2.050,-2.554309205924098,132.0181538655061
1.700,1.875,2.050,-2.55118000507112,132.01815386548122
1.700,1.875,2.050,-2.548050804218142,132.01815386545945
